x1,x2,x3,x4,x5,x6,x7
0.0,0.0,0.0,-4.918451606720707,-2.3920562334641975,-1.7529981398680459,-3.1042095321472503
0.0,0.0,-3.8304751582637158,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-2.1241507802462607,0.0,0.0
-4.776367260723501,-3.441058092953213,0.0,0.0,-3.492282118822834,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-3.0346151566871145
0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-2.6531238725377593,0.0,0.0,0.0,0.0
0.0,-2.732297825778391,0.0,0.0,0.0,0.0,0.0
0.0,0.0,-3.968613245384484,0.0,-4.733736761204536,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,-3.9092578686167636
